run_name,run_id,state
lunar-sweep-1,l7c46fpk,finished
stilted-sweep-2,3517vxhu,finished
jolly-sweep-3,hu41n52x,finished
flowing-sweep-4,mzaoqry4,finished
grateful-sweep-5,jk6w53au,finished
whole-sweep-6,uuqtjcpg,finished
efficient-sweep-7,or1wq60o,finished
decent-sweep-8,e29o3qlx,finished
magic-sweep-9,1udzrvbw,finished
vague-sweep-10,qwyh1ace,finished
eternal-sweep-12,aga0upv9,finished
fallen-sweep-15,pjift250,finished
imperial-cantina-25,jnyy0e1o,finished
tusken-fighter-26,23a3wrd3,finished
skilled-sweep-24,qs7xe8ej,finished
