Run,Final eval/f1_binary_class_1,Max. eval/f1_binary_class_1,Step at Max.
jumping-sweep-1,0.339784,0.339784,22638
fanciful-sweep-2,0.338199,0.339869,15092
daily-sweep-3,0.406844,0.412842,15092
woven-sweep-4,0.408258,0.413661,15092
chocolate-sweep-5,0.43201,0.433613,11319
helpful-sweep-6,0.442743,0.444044,18865
fiery-sweep-7,0.293127,0.293444,7548
fine-sweep-8,0.292173,0.292173,11322
revived-sweep-9,0.35362,0.359662,5661
radiant-sweep-10,0.359251,0.360262,1887
stellar-sweep-11,0.370931,0.372669,1887
ethereal-sweep-12,0.366246,0.373938,1887
