Run,Final eval/precision_class_1,Max. eval/precision_class_1,Step at Max.
jumping-sweep-1,0.230284,0.230284,22638
fanciful-sweep-2,0.229646,0.231612,15092
daily-sweep-3,0.320458,0.320458,22638
woven-sweep-4,0.323126,0.323126,22638
chocolate-sweep-5,0.377277,0.377277,18865
helpful-sweep-6,0.43194,0.43194,22638
fiery-sweep-7,0.186821,0.187578,7548
fine-sweep-8,0.185439,0.185439,11322
revived-sweep-9,0.243533,0.256047,1887
radiant-sweep-10,0.251408,0.25768,1887
stellar-sweep-11,0.262884,0.269057,1887
ethereal-sweep-12,0.259194,0.272536,1887
