Run,Final eval/recall_class_1,Max. eval/recall_class_1,Step at Max.
jumping-sweep-1,0.647823,0.680606,7546
fanciful-sweep-2,0.641466,0.677739,7546
daily-sweep-3,0.557804,0.67406,7546
woven-sweep-4,0.555072,0.681255,7546
chocolate-sweep-5,0.513984,0.67525,7546
helpful-sweep-6,0.454558,0.671517,7546
fiery-sweep-7,0.680254,0.709711,3774
fine-sweep-8,0.688396,0.706735,3774
revived-sweep-9,0.645361,0.714633,3774
radiant-sweep-10,0.631837,0.731025,3774
stellar-sweep-11,0.631593,0.712253,3774
ethereal-sweep-12,0.62878,0.727238,3774
