_runtime,eval/precision_class_0,train/loss,eval/recall_class_0,final/eval_precision_micro,eval/f1_micro,eval/recall_micro,eval/samples_per_second,final/eval_f1_micro,_step,final/eval_samples_per_second,eval/f1_binary_class_1,final/eval_runtime,train/learning_rate,final/eval_f1_binary_class_1,final/eval_f1_binary_class_0,eval/steps_per_second,_timestamp,final/eval_recall_micro,eval/precision_class_1,final/eval_loss,final/eval_steps_per_second,eval/recall_class_1,final/epoch,final/eval_recall_class_1,final/eval_precision_class_0,train/global_step,eval/f1_binary_class_0,final/eval_recall_class_0,train/epoch,final/eval_precision_class_1,eval/loss,eval/runtime,train/grad_norm,eval/precision_micro
574.560974599,,0.5476,,,,,,,0,,,,4.629920486895063e-06,,,,1776341148.599762,,,,,,,,,3773,,,1.0,,,,9.56955623626709,
609.298813488,0.9799232083587014,,0.941656896027026,,0.9256081957800413,0.9256081957800413,77.729,,1,,0.385142835790221,,,,,19.432,1776341183.337417,,0.29416633369484557,,,0.5575872328915337,,,,3773,0.9604090348581912,,1.0,,0.43536287546157837,34.7362,,0.9256081957800413
1179.120368676,,0.4234,,,,,,,2,,,,3.703985471679592e-06,,,,1776341753.159249,,,,,,,,,7546,,,2.0,,,,6.3959641456604,
1214.237471386,0.9844864033947097,,0.9019908513785448,,0.8924665554485571,0.8924665554485571,76.891,,3,,0.3437715546971996,,,,,19.223,1776341788.2760277,,0.23071937783538563,,,0.6740600486881255,,,,7546,0.9414348642918876,,2.0,,0.40804749727249146,35.1148,,0.8924665554485571
1783.535917266,,0.3602,,,,,,,4,,,,2.7780504564641215e-06,,,,1776342357.5748749,,,,,,,,,11319,,,3.0,,,,14.237006187438965,
1818.021181495,0.9818237232978329,,0.9423551920432,,0.9280473083861167,0.9280473083861167,78.298,,5,,0.41066469172375486,,,,,19.574,1776342392.0598993,,0.3121745249824068,,,0.5999459020827698,,,,11319,0.9616846707385481,,3.0,,0.4506416916847229,34.4837,,0.9280473083861167
2386.547796072,,0.2962,,,,,,,6,,,,1.8521154412486504e-06,,,,1776342960.5866692,,,,,,,,,15092,,,4.0,,,,8.205513000488281,
2420.723269999,0.9811356767933832,,0.9458749814220232,,0.9307102135297283,0.9307102135297283,79.009,,7,,0.4128419278216229,,,,,19.752,1776342994.7620444,,0.31958243127020375,,,0.5829591560724912,,,,15092,0.9631827266787101,,4.0,,0.5335291028022766,34.1735,,0.9307102135297283
2989.34394459,,0.2385,,,,,,,8,,,,9.261804260331796e-07,,,,1776343563.3828514,,,,,,,,,18865,,,5.0,,,,2.067901134490967,
3023.857501866,0.9803425481210797,,0.9442731469795158,,0.928458724970274,0.928458724970274,78.234,,9,,0.3979378305368489,,,,,19.558,1776343597.896263,,0.30688653501951235,,,0.565810116310522,,,,18865,0.9619698575551983,,5.0,,0.5923019647598267,34.5119,,0.928458724970274
3595.663943177,,0.1983,,,,,,,10,,,,2.4541081770884465e-10,,,,1776344169.7028959,,,,,,,,,22638,,,6.0,,,,1.0400692224502563,
3630.58767773,0.9790179558111689,,0.9509423457556105,,0.933463539900627,0.933463539900627,77.315,,11,,0.4008468021007206,,,,,19.329,1776344204.6263213,,0.3213341601122679,,,0.5326480930484176,,,,22638,0.9647759393601413,,6.0,,0.6715455651283264,34.9219,,0.933463539900627
3631.405928711,,,,,,,,,12,,,,,,,,1776344205.444959,,,,,,,,,22638,,,6.0,,,,,
3666.207521689,0.9811356767933832,,0.9458749814220232,,0.9307102135297283,0.9307102135297283,77.797,,13,,0.4128419278216229,,,,,19.449,1776344240.246197,,0.31958243127020375,,,0.5829591560724912,,,,22638,0.9631827266787101,,6.0,,0.5335291028022766,34.7057,,0.9307102135297283
3666.209059817,,,,0.9307102135297283,,,,0.9307102135297283,14,77.797,,34.7057,,0.4128419278216229,0.9631827266787101,,1776344240.2478821,0.9307102135297283,,0.5335291028022766,19.449,,6.0,0.5829591560724912,0.9811356767933832,22638,,0.9458749814220232,,0.31958243127020375,,,,
