final/eval_recall_class_1,eval/f1_binary_class_0,train/epoch,final/epoch,eval/recall_class_1,eval/f1_micro,final/eval_recall_class_0,final/eval_runtime,eval/runtime,train/grad_norm,eval/recall_class_0,eval/steps_per_second,train/loss,final/eval_samples_per_second,eval/recall_micro,eval/samples_per_second,final/eval_recall_micro,final/eval_precision_class_0,final/eval_f1_micro,train/learning_rate,eval/precision_class_0,eval/f1_binary_class_1,final/eval_precision_class_1,_timestamp,final/eval_f1_binary_class_1,_step,eval/loss,eval/precision_micro,final/eval_precision_micro,final/eval_f1_binary_class_0,eval/precision_class_1,final/eval_steps_per_second,final/eval_loss,_runtime,train/global_step
,,1.0,,,,,,,12.98803997039795,,,0.622,,,,,,,9.259840973790124e-07,,,,1776337478.2454064,,0,,,,,,,,575.261234888,3773
,0.9374976186584105,1.0,,0.5484987827968624,0.8850452332189505,,,34.3912,,0.8997213893259792,19.627,,,0.8850452332189505,78.508,,,,,0.9785850644552098,0.2850796417876875,,1776337512.6385138,,1,0.479945570230484,0.8850452332189505,,,0.19258823082475401,,,609.654559678,3773
,,2.0,,,,,,,22.909015655517578,,,0.4909,,,,,,,7.407970943359183e-07,,,,1776338082.6300602,,2,,,,,,,,1179.645749453,7546
,0.9214469331145344,2.0,,0.6777387070597782,0.858461392396479,,,34.9014,,0.8663423679312273,19.34,,,0.858461392396479,77.361,,,,,0.9840376215868593,0.28580227902679395,,1776338117.532937,,3,0.4436022937297821,0.858461392396479,,,0.1810823311748381,,,1214.548892655,7546
,,3.0,,,,,,,34.23192596435547,,,0.4528,,,,,,,5.556100912928243e-07,,,,1776338686.920948,,4,,,,,,,,1783.936629644,11319
,0.9367849532104141,3.0,,0.6519340005409792,0.8843263844620163,,,34.3158,,0.8944605781230464,19.67,,,0.8843263844620163,78.681,,,,,0.9833137095226486,0.32019449204894185,,1776338721.2383301,,5,0.4315469563007355,0.8843263844620163,,,0.2122103261252377,,,1818.2542373,11319
,,4.0,,,,,,,9.641064643859863,,,0.4341,,,,,,,3.7042308824973e-07,,,,1776339289.469232,,6,,,,,,,,2386.484938292,15092
,0.9437984234662402,4.0,,0.6381390316472816,0.8964157025503308,,,34.1551,,0.9076786611589355,19.763,,,0.8964157025503308,79.051,,,,,0.9829119874107152,0.3398689044154722,,1776339323.6260998,,7,0.431111603975296,0.8964157025503308,,,0.231612016493226,,,2420.641953386,15092
,,5.0,,,,,,,11.773637771606445,,,0.4199,,,,,,,1.8523608520663588e-07,,,,1776339893.875808,,8,,,,,,,,2990.891513506,18865
,0.9393137500200287,5.0,,0.6538815255612659,0.8886982508013581,,,34.6014,,0.8989381654159462,19.508,,,0.8886982508013581,78.031,,,,,0.9834868162953481,0.32929669940472134,,1776339928.479034,,9,0.4273698925971985,0.8886982508013581,,,0.22005971670975494,,,3025.494891815,18865
,,6.0,,,,,,,4.522136688232422,,,0.4126,,,,,,,4.9082163541768917e-11,,,,1776340495.661982,,10,,,,,,,,3592.6776739,22638
,0.9422579563171986,6.0,,0.6447930754665946,0.893761839529448,,,34.7349,,0.9046188978718486,19.433,,,0.893761839529448,77.732,,,,,0.9831651385555761,0.33652855226935835,,1776340530.3988097,,11,0.43044108152389526,0.893761839529448,,,0.22767908309455587,,,3627.414639958,22638
,,6.0,,,,,,,,,,,,,,,,,,,,,1776340531.1545327,,12,,,,,,,,3628.170122758,22638
,0.9437984234662402,6.0,,0.6381390316472816,0.8964157025503308,,,34.857,,0.9076786611589355,19.365,,,0.8964157025503308,77.459,,,,,0.9829119874107152,0.3398689044154722,,1776340566.1128273,,13,0.431111603975296,0.8964157025503308,,,0.231612016493226,,,3663.129060537,22638
0.6381390316472816,,,6.0,,,0.9076786611589355,34.857,,,,,,77.459,,,0.8964157025503308,0.9829119874107152,0.8964157025503308,,,,0.231612016493226,1776340566.1148098,0.3398689044154722,14,,,0.8964157025503308,0.9437984234662402,,19.365,0.431111603975296,3663.130839474,22638
