train/grad_norm,final/eval_recall_class_1,final/epoch,eval/f1_binary_class_1,final/eval_f1_micro,eval/steps_per_second,eval/recall_class_0,eval/f1_micro,train/global_step,train/learning_rate,final/eval_recall_class_0,final/eval_precision_class_1,train/epoch,eval/runtime,final/eval_f1_binary_class_0,final/eval_samples_per_second,eval/precision_micro,eval/precision_class_0,final/eval_recall_micro,final/eval_precision_class_0,_timestamp,_step,final/eval_f1_binary_class_1,eval/recall_class_1,final/eval_runtime,eval/recall_micro,final/eval_steps_per_second,eval/loss,_runtime,eval/precision_class_1,final/eval_precision_micro,eval/f1_binary_class_0,final/eval_loss,eval/samples_per_second,train/loss
19.852092742919922,,,,,,,,1887,9.260967710275788e-07,,,1.0,,,,,,,,1776359617.69323,0,,,,,,,645.33532145,,,,,,0.6439
,,,0.2527667056032562,,9.004,0.872464253613564,0.8597318106398658,1887,,,,1.0,37.5406,,,0.8597318106398658,0.9788522516132105,,,1776359655.2357795,1,,0.5677576413308087,,0.8597318106398658,,0.5232292413711548,682.878408399,0.16257203048516017,,0.9226013992643197,,71.922,
15.67503833770752,,,,,,,,3774,7.408970458337422e-07,,,2.0,,,,,,,,1776360295.981019,2,,,,,,,1323.62318634,,,,,,0.5216
,,,0.24919884022585076,,8.963,0.8270797307785764,0.8220510246985583,3774,,,,2.0,37.7111,,,0.8220510246985583,0.9847729424090829,,,1776360333.6940823,3,,0.7067351906951582,,0.8220510246985583,,0.48106202483177185,1361.33650179,0.1512684830309276,,0.8990639825618669,,71.597,
35.66719436645508,,,,,,,,5661,5.556973206399057e-07,,,3.0,,,,,,,,1776360972.4173174,4,,,,,,,2000.059366586,,,,,,0.4795
,,,0.2703221699245452,,8.974,0.8481135391576569,0.8419504762938147,5661,,,,3.0,37.6646,,,0.8419504762938147,0.9848400175323252,,,1776361010.0837321,5,,0.7006221260481471,,0.8419504762938147,,0.459779292345047,2037.726332643,0.1674683838932423,,0.9113773229276653,,71.685,
18.28586769104004,,,,,,,,7548,3.704975954460693e-07,,,4.0,,,,,,,,1776361652.5301552,6,,,,,,,2680.17221077,,,,,,0.4571
,,,0.2899830298582764,,8.815,0.8676964960166459,0.8600234190978674,7548,,,,4.0,38.3439,,,0.8600234190978674,0.9843702746174866,,,1776361690.875524,7,,0.6840681633757101,,0.8600234190978674,,0.4505481719970703,2718.518334006,0.18398882535248157,,0.9223583637603819,,70.415,
24.10782241821289,,,,,,,,9435,1.8529787025223278e-07,,,5.0,,,,,,,,1776362328.1585844,8,,,,,,,3355.800612688,,,,,,0.4433
,,,0.2833172486401123,,8.84,0.8589677958144702,0.8522743199193442,9435,,,,5.0,38.2366,,,0.8522743199193442,0.9849381213227836,,,1776362366.3965323,9,,0.6987827968623208,,0.8522743199193442,,0.44822627305984497,3394.038742091,0.177677822253401,,0.9176499942033661,,70.613,
7.8832807540893555,,,,,,,,11322,9.814505839630975e-11,,,6.0,,,,,,,,1776363005.0051622,10,,,,,,,4032.647191672,,,,,,0.4358
,,,0.2921727550340964,,9.042,0.8681352901349174,0.8606247202593281,11322,,,,6.0,37.3797,,,0.8606247202593281,0.9845887524648631,,,1776363042.3865354,11,,0.688395996754125,,0.8606247202593281,,0.44798213243484497,4070.028777198,0.18543885982425204,,0.9227021646302477,,72.232,
,,,,,,,,11322,,,,6.0,,,,,,,,1776363043.2330694,12,,,,,,,4070.87495048,,,,,,
,,,0.2921727550340964,,8.792,0.8681352901349174,0.8606247202593281,11322,,,,6.0,38.4434,,,0.8606247202593281,0.9845887524648631,,,1776363081.6789174,13,,0.688395996754125,,0.8606247202593281,,0.44798213243484497,4109.321146723,0.18543885982425204,,0.9227021646302477,,70.233,
,0.688395996754125,6.0,,0.8606247202593281,,,,11322,,0.8681352901349174,0.18543885982425204,,,0.9227021646302477,70.233,,,0.8606247202593281,0.9845887524648631,1776363081.6805851,14,0.2921727550340964,,38.4434,,8.792,,4109.322632531,,0.8606247202593281,,0.44798213243484497,,
