final/eval_f1_binary_class_0,final/eval_samples_per_second,eval/f1_binary_class_1,eval/precision_class_1,eval/recall_micro,eval/f1_binary_class_0,eval/recall_class_0,eval/recall_class_1,final/eval_recall_class_1,final/eval_precision_class_1,_step,final/eval_recall_class_0,_timestamp,final/eval_steps_per_second,eval/precision_micro,eval/f1_micro,train/learning_rate,eval/steps_per_second,final/eval_recall_micro,eval/runtime,final/eval_precision_micro,train/loss,final/eval_runtime,final/epoch,eval/loss,final/eval_loss,train/grad_norm,train/global_step,final/eval_precision_class_0,_runtime,train/epoch,final/eval_f1_binary_class_1,final/eval_f1_micro,eval/precision_class_0,eval/samples_per_second
,,,,,,,,,,0,,1776351664.6082895,,,,9.259840973790125e-06,,,,,0.5288,,,,,7.016131401062012,3773,,590.241835431,1.0,,,,
,,0.4044785229266804,0.312376631411484,0.929421711040884,0.9624879853902345,0.9449384154814114,0.5736002163916689,,,1,,1776351701.9102747,,0.929421711040884,0.929421711040884,,18.099,,37.2951,,,,,0.4325508177280426,,,3773,,627.544037809,1.0,,,0.980701758681393,72.396
,,,,,,,,,,2,,1776352285.8398485,,,,7.407970943359184e-06,,,,,0.4069,,,,,5.894650459289551,7546,,1211.473374681,2.0,,,,
,,0.3692641787270753,0.25464653510031593,0.9041421964220321,0.9481295190191764,0.9142865231227987,0.6715174465783067,,,3,,1776352322.387082,,0.9041421964220321,0.9041421964220321,,18.475,,36.5353,,,,,0.4156198799610138,,,7546,,1248.020819277,2.0,,,0.9845742680906846,73.901
,,,,,,,,,,4,,1776352904.721881,,,,5.556100912928243e-06,,,,,0.3102,,,,,6.406348705291748,11319,,1830.355354507,3.0,,,,
,,0.4408522234609191,0.3564584515741328,0.938775787003757,0.9676148796498906,0.954525831054828,0.5776034622667028,,,5,,1776352940.693508,,0.938775787003757,0.938775787003757,,18.771,,35.9596,,,,,0.5289372205734253,,,11319,,1866.327272217,3.0,,,0.9810678893654785,75.084
,,,,,,,,,,6,,1776353514.414349,,,,3.7042308824973007e-06,,,,,0.2205,,,,,0.8675665259361267,15092,,2440.047837917,4.0,,,,
,,0.43747418848599984,0.3537721671175233,0.9384186231559721,0.9674263439831643,0.9543512570507845,0.573059237219367,,,7,,1776353548.270695,,0.9384186231559721,0.9384186231559721,,19.938,,33.855,,,,,0.6390658020973206,,,15092,,2473.904467263,4.0,,,0.9808646779703757,79.752
,,,,,,,,,,8,,1776354119.3273325,,,,1.8523608520663592e-06,,,,,0.1492,,,,,2.433523178100586,18865,,3044.960806135,5.0,,,,
,,0.4440436933223413,0.4238847080812552,0.951217747878492,0.9744896752930495,0.9723677660897074,0.46621585068974847,,,9,,1776354153.865517,,0.951217747878492,0.951217747878492,,19.544,,34.5369,,,,,0.860630452632904,,,18865,,3079.49927087,5.0,,,0.9766208656463915,78.177
,,,,,,,,,,10,,1776354725.61315,,,,4.908216354176893e-10,,,,,0.1003,,,,,0.1938614547252655,22638,,3651.246655768,6.0,,,,
,,0.4414428987382724,0.43999570054280646,0.9531663253265337,0.9755584812707041,0.9754180929441434,0.442899648363538,,,11,,1776354760.3706489,,0.9531663253265337,0.9531663253265337,,19.421,,34.7561,,,,,0.9893661141395569,,,22638,,3686.004428102,6.0,,,0.9756989100142295,77.684
,,,,,,,,,,12,,1776354761.092618,,,,,,,,,,,,,,,22638,,3686.726027683,6.0,,,,
,,0.4440436933223413,0.4238847080812552,0.951217747878492,0.9744896752930495,0.9723677660897074,0.46621585068974847,,,13,,1776354795.827088,,0.951217747878492,0.951217747878492,,19.485,,34.6424,,,,,0.860630452632904,,,22638,,3721.460790142,6.0,,,0.9766208656463915,77.939
0.9744896752930495,77.939,,,,,,,0.46621585068974847,0.4238847080812552,14,0.9723677660897074,1776354795.8285918,19.485,,,,,0.951217747878492,,0.951217747878492,,34.6424,6.0,,0.860630452632904,,22638,0.9766208656463915,3721.46217795,,0.4440436933223413,0.951217747878492,,
