final/eval_f1_binary_class_1,final/eval_recall_class_0,eval/recall_micro,final/eval_recall_micro,train/global_step,eval/precision_class_0,eval/precision_class_1,final/eval_recall_class_1,final/eval_runtime,final/eval_f1_binary_class_0,eval/f1_micro,_step,eval/steps_per_second,final/eval_samples_per_second,final/eval_precision_class_1,eval/f1_binary_class_1,_timestamp,train/grad_norm,eval/recall_class_0,eval/loss,final/eval_steps_per_second,final/eval_f1_micro,train/loss,final/eval_precision_micro,eval/recall_class_1,eval/samples_per_second,final/eval_loss,eval/runtime,_runtime,final/epoch,eval/f1_binary_class_0,train/learning_rate,train/epoch,eval/precision_micro,final/eval_precision_class_0
,,,,1887,,,,,,,0,,,,,1776369362.9552557,11.030733108520508,,,,,0.5339,,,,,,650.040687044,,,9.26096771027579e-06,1.0,,
,,0.9147395642601057,,1887,0.9818284356783519,0.26905711129256926,,,,0.9147395642601057,1,8.931,,,0.3726693611429902,1776369400.8029976,,0.9282005430666991,0.43446701765060425,,,,,0.6060589667297809,71.342,,37.8458,687.888813779,,0.9542616340760952,,1.0,0.9147395642601057,
,,,,3774,,,,,,,2,,,,,1776370047.141769,7.921695232391357,,,,,0.401,,,,,,1334.227111245,,,7.408970458337423e-06,2.0,,
,,0.8761681292300181,,3774,0.9859933060695674,0.21022881504782281,,,,0.8761681292300181,3,9.08,,,0.32463753821875924,1776370084.3675435,,0.8833161511622146,0.41409045457839966,,,,,0.7122531782526372,72.533,,37.2245,1371.453174809,,0.9318348107849822,,2.0,0.8761681292300181,
,,,,5661,,,,,,,4,,,,,1776370722.4178832,19.339197158813477,,,,,0.3028,,,,,,2009.503267516,,,5.5569732063990575e-06,3.0,,
,,0.906167631913268,,5661,0.9839567048722206,0.2567099201149668,,,,0.906167631913268,5,9.029,,,0.36919289394100574,1776370759.8552756,,0.9170278068079143,0.46854984760284424,,,,,0.6571274005950771,72.123,,37.436,2046.94089604,,0.9493140564995207,,3.0,0.906167631913268,
,,,,5661,,,,,,,6,,,,,1776370760.644849,,,,,,,,,,,,2047.730101017,,,,3.0,,
,,0.9147395642601057,,5661,0.9818284356783519,0.26905711129256926,,,,0.9147395642601057,7,8.835,,,0.3726693611429902,1776370799.0004387,,0.9282005430666991,0.43446701765060425,,,,,0.6060589667297809,70.574,,38.2579,2086.086066904,,0.9542616340760952,,3.0,0.9147395642601057,
0.3726693611429902,0.9282005430666991,,0.9147395642601057,5661,,,0.6060589667297809,38.2579,0.9542616340760952,,8,,70.574,0.26905711129256926,,1776370799.0020695,,,,8.835,0.9147395642601057,,0.9147395642601057,,,0.43446701765060425,,2086.087505321,3.0,,,,,0.9818284356783519
