eval/recall_class_1,train/learning_rate,final/eval_recall_micro,eval/precision_class_0,_step,final/eval_precision_micro,_timestamp,train/epoch,eval/precision_micro,final/eval_recall_class_1,final/eval_steps_per_second,_runtime,eval/steps_per_second,train/loss,eval/recall_micro,final/eval_runtime,final/eval_recall_class_0,eval/runtime,train/global_step,final/eval_f1_binary_class_0,final/eval_precision_class_1,final/eval_loss,final/eval_precision_class_0,eval/samples_per_second,train/grad_norm,eval/precision_class_1,final/eval_f1_micro,final/eval_f1_binary_class_1,eval/f1_micro,eval/f1_binary_class_0,eval/loss,final/eval_samples_per_second,eval/f1_binary_class_1,final/epoch,eval/recall_class_0
,4.629920486895063e-06,,,0,,1776344896.1548321,1.0,,,,575.385319884,,0.5487,,,,,3773,,,,,,10.006394386291504,,,,,,,,,,
0.5802542602109819,,,0.9807459905057558,1,,1776344931.2874064,1.0,0.9176579093708039,,,610.51797773,19.214,,0.9176579093708039,,,35.1311,3773,,,,,76.855,,0.2722818774909248,,,0.9176579093708039,0.9559471259085467,0.4297516942024231,,0.37064169459898405,,0.9323714462984414
,3.703985471679592e-06,,,2,,1776345500.2288783,2.0,,,,1179.459243434,,0.4246,,,,,7546,,,,,,7.728720664978027,,,,,,,,,,
0.6812550716797403,,,0.9847307274673274,3,,1776345534.5442436,2.0,0.8874255720272891,,,1213.774786467,19.671,,0.8874255720272891,,,34.3139,7546,,,,,78.685,,0.22288101095555832,,,0.8874255720272891,0.9385004482798649,0.405891478061676,,0.33587603019230255,,0.8964162787899662
,2.7780504564641215e-06,,,4,,1776346103.763052,3.0,,,,1782.993419768,,0.3609,,,,,11319,,,,,,13.448155403137207,,,,,,,,,,
0.6036245604544225,,,0.9819380316965728,5,,1776346137.9357717,3.0,0.9256647090470959,,,1817.166315599,19.753,,0.9256647090470959,,,34.1712,11319,,,,,79.014,,0.303908484270734,,,0.9256647090470959,0.9603591353363519,0.4488162398338318,,0.4042753623188406,,0.9397082726845943
,1.8521154412486504e-06,,,6,,1776346705.7999518,4.0,,,,2385.030310293,,0.2965,,,,,15092,,,,,,7.822238922119141,,,,,,,,,,
0.5789018122802272,,,0.9809738439239247,7,,1776346740.4033825,4.0,0.931424541225298,,,2419.634080604,19.508,,0.931424541225298,,,34.6018,15092,,,,,78.031,,0.32180555137882294,,,0.931424541225298,0.9635826700759895,0.5403020977973938,,0.41366113881479766,,0.9467973927136585
,9.261804260331796e-07,,,8,,1776347309.4177306,5.0,,,,2988.648095145,,0.2373,,,,,18865,,,,,,1.588772177696228,,,,,,,,,,
0.5651068433865296,,,0.9803124923468763,9,,1776347343.771036,5.0,0.928483590807778,,,3023.001578288,19.65,,0.928483590807778,,,34.3515,18865,,,,,78.599,,0.3068382093761015,,,0.928483590807778,0.9619847660291342,0.5925191640853882,,0.39772316244360256,,0.9443297655754219
,2.4541081770884465e-10,,,10,,1776347910.6769311,6.0,,,,3589.907286281,,0.1976,,,,,22638,,,,,,0.7717280387878418,,,,,,,,,,
0.5312415472004328,,,0.978973907261949,11,,1776347945.4093788,6.0,0.93419143078029,,,3624.639919527,19.435,,0.93419143078029,,,34.7306,22638,,,,,77.741,,0.3244457660157928,,,0.93419143078029,0.9651768668749611,0.6723483800888062,,0.4028552674762061,,0.9517633153962476
,,,,12,,1776347946.164284,6.0,,,,3625.394540167,,,,,,,22638,,,,,,,,,,,,,,,,
0.5789018122802272,,,0.9809738439239247,13,,1776347981.2525938,6.0,0.931424541225298,,,3660.483087131,19.291,,0.931424541225298,,,34.991,22638,,,,,77.163,,0.32180555137882294,,,0.931424541225298,0.9635826700759895,0.5403020977973938,,0.41366113881479766,,0.9467973927136585
,,0.931424541225298,,14,0.931424541225298,1776347981.2539616,,,0.5789018122802272,19.291,3660.484914668,,,,34.991,0.9467973927136585,,22638,0.9635826700759895,0.32180555137882294,0.5403020977973938,0.9809738439239247,,,,0.931424541225298,0.41366113881479766,,,,77.163,,6.0,
